Sample ->,C102900H,C102905E,C102910E,C102915E,C102920E,C102925E
Location ->,0_ft,5_ft,10_ft,15_ft,20_ft,25_ft
d5_micron,10.82703911,15.01101626,14.38734164,12.43039471,13.28338574,13.31160111
d16_micron,12.6440225,22.59016028,18.20112143,17.53105271,16.63070911,17.2172346
d50_micron,26.65535223,34.66610001,28.95060191,27.0989258,27.3984976,25.1144889
d84_micron,43.28448084,47.50770803,41.73747185,39.09472945,39.63555757,35.15707182
d95_micron,52.70531383,55.15009141,48.64704519,46.66948939,47.57719389,42.66703897
