Sample ->,C112900H,C112905E,C112910E,C112915E,C112920E,C112925E
Location ->,0_ft,5_ft,10_ft,15_ft,20_ft,25_ft
d5_micron,10.81796769,26.55605185,23.45128323,20.58319585,18.80489821,20.62559088
d16_micron,13.20755528,32.47807315,30.85905314,26.02548263,24.72901928,25.65163186
d50_micron,22.96427965,44.32292146,41.33552506,35.98252226,36.59708947,36.43528269
d84_micron,36.67182083,55.23818436,52.78076539,47.90580514,49.19685247,48.56954713
d95_micron,44.074928,59.77334398,58.53063053,55.40054776,56.42772793,56.26323802
