d_micron,frac_finer,theta_bar,frac,frac_ss,frac_finer_ss
10.0,0.02653769427700646,2.316976249825245,0.002483703112993542,0.002529171379376042,3.2959746043559335e-17
10.292005271944,0.029021397390000002,2.36014972031887,0.005238286572999996,0.0053341820155925574,0.002529171379376075
10.901844923851,0.034259683963,2.4177143476437535,0.006973476091000005,0.0071011370287581525,0.007863353394968632
11.547819846895,0.041233160054000004,2.4752789749686044,0.010430608201000002,0.010621557622343259,0.014964490423726785
12.232071190499,0.051663768255000006,2.53284360229343,0.015242899130999993,0.015521945444749849,0.025586048046070044
12.95686697517,0.066906667386,2.5904082296183075,0.020531879305,0.02090774909100188,0.041107993490819894
13.724609610076,0.087438546691,2.6479728569431797,0.025335931128999997,0.025799746977035715,0.06201574258182177
14.537843856077,0.11277447782,2.705537484268019,0.028978141247000017,0.029508633735653485,0.08781548955885748
15.399265260595,0.141752619067,2.7631021115928456,0.031245327159999975,0.03181732421193705,0.11732412329451097
16.311729092278,0.172997946227,2.820666738917705,0.032310638019000026,0.03290213733659188,0.14914144750644803
17.278259805079,0.20530858424600001,2.87823136624258,0.032619203915999984,0.03321635203933192,0.1820435848430399
18.302061063111,0.237927788162,2.9357959935674183,0.032749657343000005,0.033349193630657345,0.21525993688237183
19.386526359522,0.270677445505,2.993360620892246,0.03336133161499999,0.0339720656052302,0.2486091305130292
20.535250264571,0.30403877712,3.0509252482170943,0.03502348390400001,0.03566464632291365,0.2825811961182594
21.752040340195,0.339062261024,3.1084898755419466,0.038013660406000016,0.03870956291885337,0.31824584244117304
23.040929760558,0.37707592143,3.166054502866807,0.042143260081,0.04291476170112737,0.3569554053600264
24.40619068042,0.419219181511,3.2236191301916697,0.046784920391999996,0.04764139523069504,0.39987016706115375
25.852348395622,0.466004101903,3.2811837575165237,0.05106733224999993,0.05200220367405998,0.4475115622918488
27.384196342644,0.5170714341529999,3.3387483848413813,0.054176164402000015,0.05516794810663262,0.4995137659659088
29.006811986932,0.571247598555,3.3963130121662175,0.05562759761200009,0.05664595218634874,0.5546817140725414
30.725573652674,0.626875196167,3.4538776394910675,0.0553718825709999,0.05638555586136521,0.6113276662588901
32.546178349805,0.682247078738,3.511442266815927,0.053638156009000126,0.054620090586013186,0.6677132221202553
34.474660657315,0.7358852347470001,3.5690068941407747,0.05077874972599994,0.051708338172796756,0.7223333127062684
36.517412725484,0.786663984473,3.626571521465622,0.04705347887600009,0.04791487011900526,0.7740416508790652
38.681205463305,0.8337174633490001,3.6841361487904685,0.04255481651999993,0.043333852356959406,0.8219565209980705
40.973210981354,0.876272279869,3.7417007761153176,0.03728608054499993,0.03796866351303273,0.8652903733550299
43.401026364474,0.913558360414,3.7992654034401685,0.031298107190000035,0.03187107046710757,0.9032590368680626
45.972698853087,0.944856467604,3.856830030765021,0.024791713121000036,0.025245566164210795,0.9351301073351702
48.696752516586,0.969648180725,3.914394658089869,0.018156708834,0.018489097221957847,0.960375673499381
51.58221650723,0.987804889559,3.9719592854147194,0.011900003790999869,0.012117852912938524,0.9788647707213388
54.638654988185,0.9997048933499999,4.029523912739576,0.006515538929000142,0.00663481657458487,0.9909826236342774
57.876198834912,1.006220432279,4.08708854006443,0.0023424772879998557,0.0023853601836118688,0.9976174402088622
61.305579214982,1.008562909567,4.129502790059194,-2.7500483210651794e-06,-2.800392474105368e-06,1.0000028003924741
63.0,1.0085601595186788,0.0,0.0,0.0,1.0
